sentence_good	sentence_bad	error_type	field
On the other hand, replacing small business has undoubtedly demerits , which could be seen from the point of local economies.	On the other hand, replacing small business has undoubtedly demerits which could be seen from the point of local economies.	Relative_clause	syntax
Overall, it is clear that almost in every age groups men spend more time on sport than women except the 55-64 group , where the number of minutes doing sport is greater among women.	Overall, it is clear that almost in every age groups men spend more time on sport than women except the 55-64 group where the number of minutes doing sport is greater among women.	Relative_clause	syntax
Moreover, by comparing the data by gender factor there is evident that the least differnece in minutes spend on sport is in 55-64 group , where women spend only 2,7 minutes higher than men.	Moreover, by comparing the data by gender factor there is evident that the least differnece in minutes spend on sport is in 55-64 group where women spend only 2,7 minutes higher than men.	Relative_clause	syntax
282,1 males spent time on sports in 2012 in young age , which is almost twice more than number of women in the same age group.	282,1 males spent time on sports in 2012 in young age which almost twice more than number of women in the same age group.	Relative_clause	syntax
For instance,New York times magazine conducted research that shown that it is easier for peoplewho used the same products in the past,to became a life-long friends.	For instance,New York times magazine conducted research that shown that it is easier for people, who used the same products in past,to became a life-long friends.	Relative_clause	syntax
As for disadvantages,small businesses are not able to develop because of a high competition , which is created by large brands.	As for disadvantages,small businesses are not able to develop because of a high competition which is created by large brands.	Relative_clause	syntax
Also this will lead to a rapid decrease in GDP if the multinational brend is foreign , which is a really common situation.	Also this will lead to a rapid decrease in GDP if the multinational brend is foreign what is a really common situation.	Relative_clause	syntax
Firstly, it's too important to understand that not all peoplewho prefer watching sport should have manners like drinking men watching soccer in a bar or boxing fans who satisfied from others pain.	Firstly, it's too important to understand that not all people, who prefer watching sport should have manners like drinking men watching soccer in a bar or boxing fans who satisfied from others pain.	Relative_clause	syntax
Men spend 282,1 minute for excercising, while women spend only 114,1 , which is double lower.	Men spend 282,1 minute for excercising, while women spend only 114,1 which is double lower.	Relative_clause	syntax
Men from 65 to 74 work out for 60,5 minutes in comparison with women of the same age group , who do it for 46 minutes.	Men from 65 to 74 work out for 60,5 minutes in comparison with women of the same age group who do it for 46 minutes.	Relative_clause	syntax
Secondly, big companies require high labour force , which can be very helpfull for the people who are unemployeed.	Secondly, big companies require high labour force which can be very helpfull for the people who are unemployeed.	Relative_clause	syntax
Multinational brands appear in new markets, in different countries creating places for work for the citizents , which can help to reduce the problem of global unemployment.	Multinational brands appear in new markets, in different countries creating places for work for the citizents which can help to reduce the problem of global unemployment.	Relative_clause	syntax
The bar chart illustaters the data about the time for sports activities , which is usually established by women and men of various categories of age in England in 2012 year.	The bar chart illustaters the data about the time for sports activities which is usually established by women and men of various categories of age in England in 2012 year.	Relative_clause	syntax
The bar chart gives data about average time which people from different age gpoups used for sport activities in 2012.	The bar chart gives data about average time, which people from different age gpoups used for sport activities in 2012.	Relative_clause	syntax
Looking at details, the average amount of time which females in all age groups spent for sport activities is smaller than time, which was spent by males for doing exercises and sport.	Looking at details, the average amount of time, which females in all age groups spent for sport activities is smaller than time, which was spent by males for doing exercises and sport.	Relative_clause	syntax
Looking at details, the average amount of time, which females in all age groups spent for sport activities is smaller than time which was spent by males for doing exercises and sport.	Looking at details, the average amount of time, which females in all age groups spent for sport activities is smaller than time, which was spent by males for doing exercises and sport.	Relative_clause	syntax
In conclusion I would like to repeat my opinion that replacement of local businesses by global corporations is a kind of positive process.	In conclusion I would like to repeat my opinion, that replacement of local businesses by global corporations is a kind of positive process.	Relative_clause	syntax
Many people suffer from illnesses which come from eating unhealthy food and sitting at home.	Many people suffer from illnesses, which come from eating unhealthy food and sitting at home.	Relative_clause	syntax
To sum up, I personally believe that small bysiness should be encouraged not only to be more active and undepended, but also to rocket without help.	To sum up, I personally believe, that small bysiness should be encouraged not only to be more active and undepended, but also to rocket without help.	Relative_clause	syntax
Moreover, these companies have great profits, part of which they spend on innovations that develop the process of production, makeing it more eco-friendly and effective.	Moreover, these companies have great profits, part of which they spend on innovations, that develop the process of production, makeing it more eco-friendly and effective.	Relative_clause	syntax
Sometimes it happens that big corporations destroy the competetors that have not so much recourses.	Sometimes it happens, that big corporations destroy the competetors that have not so much recourses.	Relative_clause	syntax
For example, big companies maintain and coordinate all the branches or factories , which is good for the national economy.	For example, big companies maintain and coordinate all the branches or factories which is good for national economy.	Relative_clause	syntax
For example, wathing the game of the favorite team with friends is not only positive emotions but communication , which is important for every human.	For example, wathing the game of the favorite team with friends is not only positive emotions but communication what is important for every human.	Relative_clause	syntax
Men in this group spent about 29,2 minutes on doing sports and the same time women spent even less time , which made ip 10 minutes.	Men in this group spent about 29,2 minutes on doing sports and the same time women spent even less time that made ip 10 minutes.	Relative_clause	syntax
One evident benefit of such developement is the creation of a sprawling supply chainthat can help companies to produce their goods faster.	One evident benefit of such developement is the creation of a sprawling supply chain, that can help companies to produce their goods faster.	Relative_clause	syntax
As you can see in the follow graphs men of all given are groups in general spend more time doing sport comparing with women, with the only exception of the age group from 55 to 64 , where women spend more time on exercising.	As you can see in the follow graphs men of all given are groups in general spend more time doing sport comparing with women, with the only exception of the age group from 55 to 64 where women spend more time on exercising.	Relative_clause	syntax
The more striking difference in time spend on sport is in the age group of 16-24 , where an average man spend 282,1 minutes when an average woman dedicated to stop only 114,1 minutes.	The more striking difference in time spend on sport is in the age group of 16-24 where an average man spend 282,1 minutes when an average woman dedicated to stop only 114,1 minutes.	Relative_clause	syntax
It is a good deal and support for sportsmen , who everyday train hard to make a good show for fans.	It is a good deal and support for sportsmen who everyday train hard to make a good show for fans.	Relative_clause	syntax
It is a one way to relax for peoplewho likes watching sports.	It is a one way to relax for people, who likes watching sports.	Relative_clause	syntax
The same consideration can be made about the percentage of chemicals in both charts , which is, on average, equal to 13.5%.	The same consideration can be made about the percentage of chemicals in both charts which is, on average, equal to 13.5%.	Relative_clause	syntax
Moreover, metals are transported three times more often by rail rather than by road, while the proportion of food products is equal to 30% in the road transportation , which is three times higher than the percentage of the same category of goods depicted in a pie chart with information about rail transportation.	Moreover, metals are transported three times more often by rail rather than by road, while the proportion of food products is equal to 30% in the road transportation that is three times higher than the percentage of the same category of goods depicted in a pie chart with information about rail transportation.	Relative_clause	syntax
There is no doubt among the researchers that the main reason of it is an improper nutrition , which is caused by a high popularity of various fast-food restaurants such as McDonald's and KFC.	There is no doubt among the researchers that the main reason of it is an improper nutrition which is caused by a high popularity of various fast-food restaurants such as McDonald's and KFC.	Relative_clause	syntax
Here the question is not about advertising products but that people should understand the norm , which is like a threshold it is desirable not to cross.	Here the question is not about advertising products but that people should understand the norm which is like a threshold it is desirable not to cross.	Relative_clause	syntax
Firstly, people are more likely to trust big named companies , which have a lot of market and marketing power and acts like influencer to the modern society.	Firstly, people are more likely to trust big named companies which have a lot of market and marketing power and acts like influencer to the modern society.	Relative_clause	syntax
On the other side, the smallest percentage of transportaion was Machinery , which is only 7% of all transportations in 2008.	On the other side, the smallest percentage of transportaion was Machinery which is only 7% of all transportations in 2008.	Relative_clause	syntax
The diagrams illustrate a comparison between the percentage of goodswhich were transported by road and rail in 2008 between countries in Easten Europe.	The diagrams illustrate a comparison between the percentage of goods, which were transported by road and rail in 2008 between countries in Easten Europe.	Relative_clause	syntax
Firstly, the percentage of Manufactured goods, Chemicals and Non-metallic minerals that were transported by road almost similar to the pecentage of goodswhich were transported by rail.	Firstly, the percentage of Manufactured goods, Chemicals and Non-metallic minerals that were transported by road almost similar to the pecentage of goods, which were transported by rail.	Relative_clause	syntax
In modern world advertising is one of the most powerful channels of information and propaganda , which can affect people's minds and change their opinions about different things in both positive and negative ways.	In modern world advertising is one of the most powerful channels of information and propaganda which can affect people's minds and change their opinions about different things in both positive and negative ways.	Relative_clause	syntax
In addition, the machinery is the lowest part , which accounts for only 2%.	In addition, the machinery is the lowest part which accounts for only 2%.	Relative_clause	syntax
This will lead to the fact that people will start more smoking and drinking alchocol , which will entain the degradation of society, but will increase the profits of companies.	This will lead to the fact that people will start more smoking and drinking alchocol which will entain the degradation of society, but will increase the profits of companies.	Relative_clause	syntax
The pie charts compare the shares of goodswhich were transported by rail and road between countries in Eastern Europe in 2008.	The pie charts compare the shares of goods, which were transported by rail and road between countries in Eastern Europe in 2008.	Relative_clause	syntax
The first chart illustrate the amount of goods in percentwhich was transported by rail.	The first chart illustrate the amount of goods in percent, which was transported by rail.	Relative_clause	syntax
The second chart gives information about productswhich were transported by road.	The second chart gives information about products, which were transported by road.	Relative_clause	syntax
For instance, homeless peoplewho drink every day, in overwhelming majority, can't normally talk, which is also proof, that it is harmful for brain.	For instance, homeless people, who drinks everyday, in overwhelming majority, can't normally talk, which is also proof, that it is harmful for brain.	Relative_clause	syntax
It can lead to concequenceswhich we are do not expect.	It can lead to concequences, which we are do not expect.	Relative_clause	syntax
There are several arguments in favour of banning advertising of productswhich can cause health issues.	There are several arguments in favour of banning advertising of products, which can cause health issues.	Relative_clause	syntax
As for the rail goods trasportation the most prevalence belongs to metals and manufactured goods , which together make up about a half of all the goods transportated by rail.	As for the rail goods trasportation the most prevalence belongs to metals and manufactured goods which together make up about a half of all the goods transportated by rail.	Relative_clause	syntax
Metals, chemicals and non-metallic minerals constitute the second most frequent transportation group eith almost the same frequency of transportation , which in total equals 40 per cent.	Metals, chemicals and non-metallic minerals constitute the second most frequent transportation group eith almost the same frequency of transportation which in total equals 40 per cent.	Relative_clause	syntax
First of all, if person do not addicted to the product which might lead any negative consequnces to his health, advertising might make this product interesting for person , which might lead to a deterioration in the health of an initially healthy person.	First of all, if person do not addicted to the product which might lead any negative consequnces to his health, advertising might make this product interesting for person which might lead to a deterioration in the health of an initially healthy person.	Relative_clause	syntax
All the sick people must be cured , which means significant costs for the social sphere.	All the sick people must be cured which means significant costs for the social sphere.	Relative_clause	syntax
Moreover, I strongly belive that buying bad goods like alcohol, for example, is people' choice , which is not influenced by marketing.	Moreover, I strongly belive that buying bad goods like alcohol, for example, is people' choice which is not influenced by marketing.	Relative_clause	syntax
On the contrary, the percent of transported metals by road was only 11% , which is nearly three times lower than that of transportation by rail (35%).	On the contrary, the percent of transported metals by road was only 11% that is nearly three times lower than that of transportation by rail (35%).	Relative_clause	syntax
The same can be said of the transportation of chemicals , which accounted for 16% and 11%.	The same can be said of the transportation of chemicals which accounted for 16% and 11%.	Relative_clause	syntax
In worst-case scenario there might be a tendency in our society, for example, for obesity or other dangerous diseases , which consequently can become a real problem for the health care of the governments.	In worst-case scenario there might be a tendency in our society, for example, for obesity or other dangerous diseases which consequently can become a real problem for the health care of the governments.	Relative_clause	syntax
What is more, customers who are, for instance, addicted to cigarettes, might be actually interested in brand-new flavours and so on.	What is more, customers who are, for instance, addicted to cigarettes might be actually interested in brand-new flavours and so on.	Relative_clause	syntax
Such activites help you find people who is interested in the same sports as you , which can lead to start of beaitiful frienship or relationship.	Such activites help you find people who is interested in the same sports as you what can lead to start of beaitiful frienship or relationship.	Relative_clause	syntax
